"rep","p","cap","outer_iters","outer_converged","outer_hit_cap","final_outer_delta","inner_mean","inner_max","inner_conv_frac","inner_hit_cap_frac","n_selected"
51,15000,5,5,FALSE,TRUE,0.0399372331753754,50,50,0,1,769
52,15000,5,5,FALSE,TRUE,0.0436373579313288,50,50,0,1,834
53,15000,5,5,FALSE,TRUE,0.0387352372799641,50,50,0,1,844
54,15000,5,5,FALSE,TRUE,0.0301142565851789,50,50,0,1,1024
55,15000,5,5,FALSE,TRUE,0.0333245196976919,50,50,0,1,912
56,15000,5,5,FALSE,TRUE,0.0486772404373954,50,50,0,1,818
57,15000,5,5,FALSE,TRUE,0.0364673867792512,50,50,0,1,880
58,15000,5,5,FALSE,TRUE,0.0338000391961067,50,50,0,1,729
59,15000,5,5,FALSE,TRUE,0.048147009032914,50,50,0,1,861
60,15000,5,5,FALSE,TRUE,0.0371070522735413,50,50,0,1,848
61,15000,5,5,FALSE,TRUE,0.0463267806831422,50,50,0,1,694
62,15000,5,5,FALSE,TRUE,0.0357230157211659,50,50,0,1,746
63,15000,5,5,FALSE,TRUE,0.0392773751813306,50,50,0,1,882
64,15000,5,5,FALSE,TRUE,0.0391288856441272,50,50,0,1,826
65,15000,5,5,FALSE,TRUE,0.0334626501896193,50,50,0,1,937
66,15000,5,5,FALSE,TRUE,0.0350585777237652,50,50,0,1,907
67,15000,5,5,FALSE,TRUE,0.051901086579603,50,50,0,1,827
68,15000,5,5,FALSE,TRUE,0.0381732815388651,50,50,0,1,840
69,15000,5,5,FALSE,TRUE,0.0399968562551782,50,50,0,1,793
70,15000,5,5,FALSE,TRUE,0.0426080446716642,50,50,0,1,814
71,15000,5,5,FALSE,TRUE,0.0352583999739612,50,50,0,1,741
72,15000,5,5,FALSE,TRUE,0.0401461048889044,50,50,0,1,832
73,15000,5,5,FALSE,TRUE,0.0388989696407893,50,50,0,1,778
74,15000,5,5,FALSE,TRUE,0.0387537742934773,50,50,0,1,759
75,15000,5,5,FALSE,TRUE,0.0395455938362958,50,50,0,1,900
76,15000,5,5,FALSE,TRUE,0.0425836914324819,50,50,0,1,797
77,15000,5,5,FALSE,TRUE,0.0357180081537608,50,50,0,1,839
78,15000,5,5,FALSE,TRUE,0.0390638438405654,50,50,0,1,683
79,15000,5,5,FALSE,TRUE,0.0330990540737119,50,50,0,1,672
80,15000,5,5,FALSE,TRUE,0.0394506293742365,50,50,0,1,830
81,15000,5,5,FALSE,TRUE,0.042002179337815,50,50,0,1,789
82,15000,5,5,FALSE,TRUE,0.0363925892169037,50,50,0,1,762
83,15000,5,5,FALSE,TRUE,0.0394496173579431,50,50,0,1,905
84,15000,5,5,FALSE,TRUE,0.0417062933457883,50,50,0,1,863
85,15000,5,5,FALSE,TRUE,0.0333532399709663,50,50,0,1,817
86,15000,5,5,FALSE,TRUE,0.0428829530986581,50,50,0,1,705
87,15000,5,5,FALSE,TRUE,0.0502179335543756,50,50,0,1,783
88,15000,5,5,FALSE,TRUE,0.0366869856001488,50,50,0,1,633
89,15000,5,5,FALSE,TRUE,0.0417684581917132,50,50,0,1,841
90,15000,5,5,FALSE,TRUE,0.0382704045411022,50,50,0,1,755
91,15000,5,5,FALSE,TRUE,0.0314860457639569,50,50,0,1,837
92,15000,5,5,FALSE,TRUE,0.034923744461131,50,50,0,1,902
93,15000,5,5,FALSE,TRUE,0.0368225515295963,50,50,0,1,753
94,15000,5,5,FALSE,TRUE,0.0356625347593958,50,50,0,1,804
95,15000,5,5,FALSE,TRUE,0.0400246611587578,50,50,0,1,827
96,15000,5,5,FALSE,TRUE,0.0310142447841573,50,50,0,1,982
97,15000,5,5,FALSE,TRUE,0.0483097365650988,50,50,0,1,769
98,15000,5,5,FALSE,TRUE,0.0349152709182439,50,50,0,1,864
99,15000,5,5,FALSE,TRUE,0.029501549448156,50,50,0,1,1071
100,15000,5,5,FALSE,TRUE,0.0375702754452153,50,50,0,1,768
