"Framework","p","Method","R","Mean_RMSE","SD_RMSE","SE_RMSE","Median_RMSE","Mean_R2","SE_R2","Mean_MAE","SE_MAE","Mean_Sel","SD_Sel","Mean_ntest","Rank"
"THCM",10000,"LASSO",1000,0.179755291056297,0.0273703225069796,0.000865525594154255,0.17925281097201,0.709434791347634,0.00295086038949379,0.132714011967055,0.000567059574540564,69.399,35.2330692413841,45.194,3
"THCM",10000,"Ridge",1000,0.180889820334222,0.0251276889625548,0.000794607294579467,0.180691469567302,0.705914666993438,0.00284342364026746,0.132813201516325,0.000522813136734335,10000,0,45.194,4
"THCM",10000,"MM-RWAL",1000,0.230760464993572,0.0437417630028037,0.00138323599960146,0.225263302612217,0.52091278784412,0.00519428538241671,0.173349202239244,0.000883341313596706,5.551,3.75706195244562,45.194,5
"THCM",15000,"RAENR-MM",1000,0.167763777865855,0.0246865013030668,0.000780655715784056,0.165824997285179,0.741677122454644,0.00244286026322342,0.124291375181781,0.000477432143670677,44.397,7.28288620201026,46.991,1
"THCM",15000,"ENET",1000,0.169714204245719,0.0245366018467228,0.000775915478763377,0.168468313738832,0.736928240055835,0.00230080057805696,0.125314903296496,0.000484461993914861,94.86,33.7048723246123,46.991,2
"THCM",15000,"LASSO",1000,0.171500367000944,0.0246407577625658,0.000779209178021825,0.1704540083033,0.731597771182378,0.00230136740067053,0.126583459160914,0.000491446563688547,72.395,32.5553809350747,46.991,3
"THCM",15000,"Ridge",1000,0.182806350636469,0.0260882343643668,0.000824982407236742,0.181747454538668,0.693930858904216,0.00279645329180439,0.133324568509939,0.000527648432904096,15000,0,46.991,4
"THCM",15000,"MM-RWAL",1000,0.244985287903279,0.0399455673605602,0.00126318975287051,0.242801981724548,0.456108132593735,0.0045402046560323,0.183204851165323,0.000818578632907842,3.487,1.05306217287487,46.991,5
"THCM",20000,"ENET",1000,0.167720396888704,0.0224773293793635,0.000710795565566076,0.166681551105686,0.752445568705397,0.00203186543078299,0.124981578747382,0.000447420826161539,99.782,39.9864651275077,52.374,1
"THCM",20000,"LASSO",1000,0.168814849582153,0.0221544804224284,0.00070058618512483,0.167411898441233,0.749458355255773,0.00198875722368058,0.126386988641318,0.000444672072617157,80.896,42.7459050248839,52.374,2
"THCM",20000,"RAENR-MM",1000,0.170438628469209,0.0236066653098611,0.000746508303404456,0.169774094781565,0.74346566899646,0.00225298893806806,0.12642338795508,0.000457449841104973,43.922,8.9752142297814,52.374,3
"THCM",20000,"Ridge",1000,0.198695376440399,0.0268212642578105,0.000848162847799467,0.19798219392022,0.651254835466018,0.00308777859024634,0.144414889295781,0.000548902739595809,20000,0,52.374,4
"THCM",20000,"MM-RWAL",1000,0.242676243096706,0.0357181468913525,0.00112950697977137,0.239808127529475,0.484229898907464,0.00406781771588251,0.183777890785074,0.000752231195193913,3.382,1.03108638781585,52.374,5
