"rep","p","THCM_RMSE_adaptive","THCM_RMSE_fixed","THCM_R2_adaptive","THCM_R2_fixed","ICM_RMSE_adaptive","ICM_RMSE_fixed","ICM_R2_adaptive","ICM_R2_fixed","sel_adaptive","sel_fixed","jaccard"
20,15000,0.190573488869873,0.207200874227608,0.637223255466081,0.571157680212065,0.458077502186724,0.468296351179537,0.514686990266814,0.492792629060701,777,976,0.202331961591221
21,15000,0.158312227554939,0.175404745986777,0.754383458163814,0.69848329877918,0.473007198783961,0.46731424646552,0.425053094973744,0.438809537148155,772,1011,0.153298835705045
22,15000,0.140036497961322,0.138258187006561,0.763286585722758,0.769260417692032,0.55488003470372,0.528542552315361,0.37672068249332,0.434484603072737,712,756,0.183870967741935
23,15000,0.183336978866844,0.189081767486866,0.723372628357333,0.705765010803313,0.539361979682146,0.545612677894232,0.473434768156606,0.461159255252019,696,932,0.148906139731828
24,15000,0.172390383219678,0.169339041488378,0.591862631779816,0.606182977857532,0.364754294093871,0.362788475005116,0.537664638459076,0.542634661034527,902,1026,0.164251207729469
25,15000,0.196205833830458,0.198748413940512,0.719040645208136,0.711711706345899,0.433463484680479,0.417942187405589,0.492219924271977,0.527933651395803,791,1226,0.157864523536165
26,15000,0.146746209736102,0.140600374518446,0.672345637379095,0.699215727308549,0.550672883267877,0.547897641395288,0.465990397776995,0.471359361457069,762,981,0.15506958250497
27,15000,0.153426143675249,0.132981998703746,0.745782592109911,0.809018078001977,0.259027128691138,0.25263295948425,0.629621476194712,0.647681609831651,838,1178,0.185882352941176
28,15000,0.162128625231688,0.180773370759589,0.797121171622278,0.74777609799598,0.338100618888178,0.330776792790278,0.577603972228697,0.595705383980783,962,1160,0.209806157354618
29,15000,0.178548185736355,0.184679656368489,0.740746163673291,0.722634510567541,0.463797086529221,0.430051606600629,0.473676211953177,0.547479648629921,595,788,0.143920595533499
30,15000,0.212755143754772,0.211029413467121,0.714874068837181,0.719480818654374,0.305599158432488,0.313400562216781,0.661528611748933,0.644026886390596,764,963,0.159060402684564
31,15000,0.150528873424292,0.161786048022062,0.732779756509923,0.691317601713836,0.333728922637583,0.331910670130921,0.63999667540239,0.643908795329753,884,915,0.181997371879106
32,15000,0.165051870890593,0.166354777611706,0.775288476306293,0.771726762803554,0.426117683003202,0.433197413144104,0.546951016629407,0.531771596136982,667,1020,0.137559002022927
33,15000,0.192069940998217,0.186959832472064,0.756343325474507,0.769136047293516,0.473628226431974,0.454998947274401,0.486524586456738,0.526123378529327,970,809,0.189966555183946
34,15000,0.149612414643882,0.162648948659832,0.777203737908822,0.736685268682262,0.358388820081312,0.369723127587936,0.582170578866381,0.555324351806374,713,878,0.17243920412675
